area;ponto;long;lat;coleta;data;month
ing;P8;-47.76481;-14.13518;4;08/06/2025;jun25
ing;P8;-47.76481;-14.13518;5;31/08/2025;set25
ing;P8;-47.76481;-14.13518;6;10/12/2025;dez25
ing;P7;-47.76501;-14.13558;1;10/09/2024;set24
ing;P7;-47.76501;-14.13558;2;25/11/2024;nov24
ing;P7;-47.76501;-14.13558;3;06/02/2025;fev25
ing;P7;-47.76501;-14.13558;4;08/06/2025;jun25
ing;P7;-47.76501;-14.13558;5;31/08/2025;set25
ing;P7;-47.76501;-14.13558;6;10/12/2025;dez25
ing;P6;-47.76511;-14.1359;1;10/09/2024;set24
ing;P6;-47.76511;-14.1359;2;25/11/2024;nov24
ing;P6;-47.76511;-14.1359;3;06/02/2025;fev25
ing;P6;-47.76511;-14.1359;4;08/06/2025;jun25
ing;P6;-47.76511;-14.1359;5;31/08/2025;set25
ing;P6;-47.76511;-14.1359;6;10/12/2025;dez25
ing;P5;-47.76521;-14.13636;1;10/09/2024;set24
ing;P5;-47.76521;-14.13636;2;25/11/2024;nov24
ing;P5;-47.76521;-14.13636;3;06/02/2025;fev25
ing;P5;-47.76521;-14.13636;4;08/06/2025;jun25
ing;P5;-47.76521;-14.13636;5;31/08/2025;set25
ing;P5;-47.76521;-14.13636;6;10/12/2025;dez25
ing;P4;-47.7653;-14.13679;1;10/09/2024;set24
ing;P4;-47.7653;-14.13679;2;25/11/2024;nov24
ing;P4;-47.7653;-14.13679;3;06/02/2025;fev25
ing;P4;-47.7653;-14.13679;4;08/06/2025;jun25
ing;P4;-47.7653;-14.13679;5;31/08/2025;set25
ing;P4;-47.7653;-14.13679;6;10/12/2025;dez25
ing;P3;-47.76542;-14.13724;1;10/09/2024;set24
ing;P3;-47.76542;-14.13724;2;25/11/2024;nov24
ing;P3;-47.76542;-14.13724;3;06/02/2025;fev25
ing;P3;-47.76542;-14.13724;4;08/06/2025;jun25
ing;P3;-47.76542;-14.13724;5;31/08/2025;set25
ing;P3;-47.76542;-14.13724;6;10/12/2025;dez25
ing;P2;-47.76558;-14.13768;1;10/09/2024;set24
ing;P2;-47.76558;-14.13768;2;25/11/2024;nov24
ing;P2;-47.76558;-14.13768;3;06/02/2025;fev25
ing;P2;-47.76558;-14.13768;4;08/06/2025;jun25
ing;P2;-47.76558;-14.13768;5;31/08/2025;set25
ing;P2;-47.76558;-14.13768;6;10/12/2025;dez25
ing;P1;-47.76559;-14.13796;1;10/09/2024;set24
ing;P1;-47.76559;-14.13796;2;25/11/2024;nov24
ing;P1;-47.76559;-14.13796;3;06/02/2025;fev25
ing;P1;-47.76559;-14.13796;4;08/06/2025;jun25
ing;P1;-47.76559;-14.13796;5;31/08/2025;set25
ing;P1;-47.76559;-14.13796;6;10/12/2025;dez25
vvt;P1;-47.56929;-14.18212;1;11/09/2024;set24
vvt;P1;-47.56929;-14.18212;2;27/11/2024;nov24
